f_shift,in,lp,bp,hp
0,3852,3815,24,-32
0,3908,3861,-22,-7
0,3950,3931,2,-23
0,3980,3959,-3,-8
0,3996,3990,-1,-9
0,3999,3996,-1,1
0,3989,3999,0,0
0,3965,3987,1,2
0,3929,3956,2,9
0,3879,3919,3,10
0,3816,3864,6,15
0,3741,3797,7,19
0,3654,3711,-24,32
0,3554,3639,28,14
0,3442,3517,3,37
0,3320,3414,15,28
0,3186,3282,11,38
0,3041,3149,15,37
0,2887,2983,-46,61
0,2722,2861,47,24
0,2549,2662,5,60
0,2368,2507,22,41
0,2178,2313,19,54
0,1981,2126,20,51
0,1778,1903,-61,82
0,1569,1746,62,29
0,1354,1492,4,77
0,1136,1304,29,49
0,913,1068,20,67
0,687,854,23,58
0,459,597,-72,95
0,230,424,74,31
0,0,144,0,86
0,16153,-52,34,50
0,15924,22078,-3649,-5696
0,15696,14439,3480,1268
0,15470,17713,-287,-1999
0,15248,14710,668,719
0,15029,15304,-506,-24
0,14814,15036,353,-29
0,14605,14661,-153,163
0,14402,14616,100,-17
0,14205,14312,-105,97
0,14016,14188,85,12
0,13834,13936,-9,81
0,13661,13799,28,34
0,13497,13605,15,56
0,13342,13454,15,43
0,13198,13282,-47,63
0,13064,13178,45,18
0,12941,13013,-1,52
0,12829,12916,17,24
0,12730,12794,10,35
0,12642,12705,8,25
0,12567,12609,-26,35
0,12504,12558,25,8
0,12455,12478,-2,27
0,12418,12446,4,9
0,12394,12408,3,10
0,12384,12388,1,6
0,12387,12384,0,0
0,12404,12387,0,0
0,12433,12413,-1,-8
0,12476,12443,-1,-9
0,12531,12490,-5,-13
0,12599,12547,-6,-15
0,12680,12628,22,-30
0,12773,12695,-25,-13
0,12879,12808,-3,-34
0,12995,12907,-15,-27
0,13123,13030,-11,-34
0,13262,13161,-14,-37
0,13411,13318,42,-58
0,13570,13436,-46,-22
0,13739,13629,-4,-58
0,13916,13780,-22,-39
0,14101,13971,-18,-53
0,14294,14153,-19,-50
0,14494,14371,59,-80
0,14700,14527,-62,-29
0,14911,14776,-4,-75
0,15128,14962,-28,-49
0,15348,15196,-21,-66
0,15573,15408,-23,-58
0,15799,15663,70,-94
0,16028,15835,-72,-31
0,16258,16115,-2,-86
0,104,16311,-32,-51
0,334,-5821,3649,5697
0,563,1820,-3480,-1268
0,790,-1452,288,1997
0,1015,1550,-669,-718
0,1236,960,505,24
0,1453,1231,-353,28
0,1665,1608,154,-164
0,1871,1654,-102,18
0,2072,1963,107,-98
0,2265,2090,-87,-12
0,2451,2348,10,-83
0,2629,2486,-30,-33
0,2798,2689,-14,-59
0,2958,2841,-17,-41
0,3108,3023,50,-68
0,3248,3130,-46,-19
0,3377,3302,0,-54
0,3495,3406,-16,-28
0,3601,3531,-11,-35
0,3695,3630,-9,-28
0,3777,3731,28,-37
0,3846,3789,-28,-10
0,3903,3875,3,-29
0,3947,3914,-7,-10
0,3978,3961,-3,-13
0,3995,3988,-1,-9
0,3999,3997,1,-2
0,3990,3999,0,0
0,3968,3989,1,1
0,3933,3959,2,9
0,3884,3922,2,11
0,3823,3870,6,14
